project	count	link	description	rank	growing_fast
lxml	9,183,019	http://pypi.python.org/pypi/lxml/3.2.1	Powerful and Pythonic XML processing library combining libxml2/libxslt with the ElementTree API.	1st	true
distribute	7,487,115	http://pypi.python.org/pypi/distribute/0.6.40	Easily download, build, install, upgrade, and uninstall Python packages	2nd	true
boto	6,116,027	http://pypi.python.org/pypi/boto/2.9.3	Amazon Web Services Library	3rd	false
zc.buildout	5,359,988	http://pypi.python.org/pypi/zc.buildout/2.1.0	System for managing development buildouts	4th	true
pip	5,138,619	http://pypi.python.org/pypi/pip/1.3.1	pip installs packages. Python packages. An easy_install replacement	5th	true
simplejson	4,248,558	http://pypi.python.org/pypi/simplejson/3.3.0	Simple, fast, extensible JSON encoder/decoder for Python	6th	true
setuptools	3,372,391	http://pypi.python.org/pypi/setuptools/0.6c11	Download, build, install, upgrade, and uninstall Python packages -- easily!	7th	false
requests	3,317,176	http://pypi.python.org/pypi/requests/1.2.0	Python HTTP for Humans.	8th	true
Django	3,146,086	http://pypi.python.org/pypi/Django/1.5.1	A high-level Python Web framework that encourages rapid development and clean, pragmatic design.	9th	false
Paste	3,123,236	http://pypi.python.org/pypi/Paste/1.7.5.1	Tools for using a Web Server Gateway Interface stack	10th	false
Jinja2	3,027,700	http://pypi.python.org/pypi/Jinja2/2.6	A small but fast and easy to use stand-alone template engine written in pure python.	11th	true
virtualenv	2,991,401	http://pypi.python.org/pypi/virtualenv/1.9.1	Virtual Python Environment builder	12th	true
nose	2,759,663	http://pypi.python.org/pypi/nose/1.3.0	nose extends unittest to make testing easier	13th	true
PasteDeploy	2,752,703	http://pypi.python.org/pypi/PasteDeploy/1.5.0	Load, configure, and compose WSGI applications and servers	14th	true
psycopg2	2,669,069	http://pypi.python.org/pypi/psycopg2/2.5	Python-PostgreSQL Database Adapter	15th	true
python-dateutil	2,216,520	http://pypi.python.org/pypi/python-dateutil/2.1	Extensions to the standard python 3.0+ datetime module	16th	false
SQLAlchemy	2,066,285	http://pypi.python.org/pypi/SQLAlchemy/0.8.1	Database Abstraction Library	17th	true
coverage	2,048,598	http://pypi.python.org/pypi/coverage/3.6	Code coverage measurement for Python	18th	true
pycrypto	1,983,830	http://pypi.python.org/pypi/pycrypto/2.6	Cryptographic modules for Python.	19th	true
PasteScript	1,838,879	http://pypi.python.org/pypi/PasteScript/1.7.5	A pluggable command-line frontend, including commands to setup package file layouts	20th	false
Flask	1,761,865	http://pypi.python.org/pypi/Flask/0.9	A microframework based on Werkzeug, Jinja2 and good intentions	21st	false
Werkzeug	1,752,751	http://pypi.python.org/pypi/Werkzeug/0.8.3	The Swiss Army knife of Python web development	22nd	false
Fabric	1,685,980	http://pypi.python.org/pypi/Fabric/1.6.0	Fabric is a simple, Pythonic tool for remote execution and deployment.	23rd	false
pymongo	1,645,765	http://pypi.python.org/pypi/pymongo/2.5	Python driver for MongoDB 	24th	true
kombu	1,627,068	http://pypi.python.org/pypi/kombu/2.5.10	AMQP Messaging Framework for Python	25th	true
MySQL-python	1,557,107	http://pypi.python.org/pypi/MySQL-python/1.2.4	Python interface to MySQL	26th	false
South	1,535,535	http://pypi.python.org/pypi/South/0.7.6	South: Migrations for Django	27th	false
paramiko	1,519,295	http://pypi.python.org/pypi/paramiko/1.10.1	SSH2 protocol library	28th	false
zope.interface	1,512,455	http://pypi.python.org/pypi/zope.interface/4.0.5	Interfaces for Python	29th	true
celery	1,490,685	http://pypi.python.org/pypi/celery/3.0.19	Distributed Task Queue	30th	true
anyjson	1,333,459	http://pypi.python.org/pypi/anyjson/0.3.3	Wraps the best available JSON implementation available in a common interface	31st	true
httplib2	1,303,717	http://pypi.python.org/pypi/httplib2/0.8	A comprehensive HTTP client library.	32nd	true
pytz	1,293,773	http://pypi.python.org/pypi/pytz/2013b	World timezone definitions, modern and historical	33rd	true
greenlet	1,285,090	http://pypi.python.org/pypi/greenlet/0.4.0	Lightweight in-process concurrent programming	34th	true
gunicorn	1,250,970	http://pypi.python.org/pypi/gunicorn/0.17.4	WSGI HTTP Server for UNIX	35th	true
six	1,245,330	http://pypi.python.org/pypi/six/1.3.0	Python 2 and 3 compatibility utilities	36th	true
Pygments	1,212,816	http://pypi.python.org/pypi/Pygments/1.6	Pygments is a syntax highlighting package written in Python.	37th	true
meld3	1,153,916	http://pypi.python.org/pypi/meld3/0.6.10	meld3 is an HTML/XML templating engine.	38th	false
graphite-web	1,131,791	http://pypi.python.org/pypi/graphite-web/0.9.10	Enterprise scalable realtime graphing	39th	false
WebOb	1,124,585	http://pypi.python.org/pypi/WebOb/1.2.3	WSGI request and response object	40th	true
Mako	1,079,740	http://pypi.python.org/pypi/Mako/0.8.0	A super-fast templating language that borrows the  best ideas from the existing templating languages.	41st	true
setuptools-git	1,074,896	http://pypi.python.org/pypi/setuptools-git/1.0b1	Setuptools revision control system plugin for Git	42nd	true
supervisor	1,048,434	http://pypi.python.org/pypi/supervisor/3.0b1	A system for controlling process state under UNIX	43rd	false
carbon	1,044,378	http://pypi.python.org/pypi/carbon/0.9.10	Backend data caching and persistence daemon for Graphite	44th	false
selenium	1,026,543	http://pypi.python.org/pypi/selenium/2.32.0	Python bindings for Selenium	45th	false
suds	960,109	http://pypi.python.org/pypi/suds/0.4	Lightweight SOAP client	46th	false
MarkupSafe	937,259	http://pypi.python.org/pypi/MarkupSafe/0.15	Implements a XML/HTML/XHTML Markup safe string for Python	47th	true
zc.recipe.egg	922,249	http://pypi.python.org/pypi/zc.recipe.egg/2.0.0	Recipe for installing Python package distributions as eggs	48th	false
msgpack-python	897,824	http://pypi.python.org/pypi/msgpack-python/0.3.0	MessagePack (de)serializer.	49th	true
redis	895,177	http://pypi.python.org/pypi/redis/2.7.4	Python client for Redis key-value store	50th	true
minitage.paste	882,443	http://pypi.python.org/pypi/minitage.paste/1.4.6	PasteScripts to facilitate use of minitage and creation of minitage based projects sponsored by Makina Corpus.	51st	false
gevent	816,492	http://pypi.python.org/pypi/gevent/0.13.8	Python network library that uses greenlet and libevent for easy and scalable concurrency	52nd	false
amqplib	801,891	http://pypi.python.org/pypi/amqplib/1.0.2	AMQP Client Library	53rd	true
Deliverance	782,765	http://pypi.python.org/pypi/Deliverance/0.6.1	Deliverance transforms HTML to theme pages	54th	false
logilab-common	755,086	http://pypi.python.org/pypi/logilab-common/0.59.1	collection of low-level Python packages and modules used by Logilab projects	55th	true
logilab-astng	733,592	http://pypi.python.org/pypi/logilab-astng/0.24.3	rebuild a new abstract syntax tree from Python's ast	56th	true
versiontools	729,726	http://pypi.python.org/pypi/versiontools/1.9.1	Smart replacement for plain tuple used in __version__	57th	true
BeautifulSoup	718,016	http://pypi.python.org/pypi/BeautifulSoup/3.2.1	HTML/XML parser for quick-turnaround applications like screen-scraping.	58th	false
pylint	717,733	http://pypi.python.org/pypi/pylint/0.28.0	python code static checker	59th	false
eggtestinfo	712,131	http://pypi.python.org/pypi/eggtestinfo/0.3	Add test information to .egg-info	60th	true
termcolor	708,030	http://pypi.python.org/pypi/termcolor/1.1.0	ANSII Color formatting for output in terminal.	61st	true
